Code,Class,NMO,DIT,Smell
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",Apple,0,2,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",GreenApple,2,3,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void types() {
        System.out.println(""Fruit is GreenApple"");
    }
   
}",GreenApple,0,3,1
"class Gadget {
    void powerOn() {
        System.out.println(""Gadget is on"");
    }
}

class Phone extends Gadget {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
}",Gadget,0,1,0
"class Gadget {
    void powerOn() {
        System.out.println(""Gadget is on"");
    }
}

class Phone extends Gadget {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
}",Phone,1,2,1
"class Gadget {
    void powerOn() {
        System.out.println(""Gadget is on"");
    }
}

class Phone extends Gadget {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
}",SmartPhone,1,3,1
"class Gadgets {
    void powerOn() {
        System.out.println(""Gadgets is on"");
    }
    void powerOff() {
        System.out.println(""Gadgets is off"");
    }
    void power() {
        System.out.println(""Gadgets is damaged"");
    }
}

class Phone extends Gadgets {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
    void powerOff() {
        System.out.println(""Phone is off"");
    }
    void power() {
        System.out.println(""Phone is damaged"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
    void powerOff() {
        System.out.println(""Smartphone is off"");
    }
    void power() {
        System.out.println(""Smartphone is damaged"");
    }
}",Gadgets,0,1,0
"class Gadgets {
    void powerOn() {
        System.out.println(""Gadgets is on"");
    }
    void powerOff() {
        System.out.println(""Gadgets is off"");
    }
    void power() {
        System.out.println(""Gadgets is damaged"");
    }
}

class Phone extends Gadgets {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
    void powerOff() {
        System.out.println(""Phone is off"");
    }
    void power() {
        System.out.println(""Phone is damaged"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
    void powerOff() {
        System.out.println(""Smartphone is off"");
    }
    void power() {
        System.out.println(""Smartphone is damaged"");
    }
}",Phone,3,2,1
"class Gadgets {
    void powerOn() {
        System.out.println(""Gadgets is on"");
    }
    void powerOff() {
        System.out.println(""Gadgets is off"");
    }
    void power() {
        System.out.println(""Gadgets is damaged"");
    }
}

class Phone extends Gadgets {
    @Override
    void powerOn() {
        System.out.println(""Phone is on"");
    }
    void powerOff() {
        System.out.println(""Phone is off"");
    }
    void power() {
        System.out.println(""Phone is damaged"");
    }
}

class Smartphone extends Phone {
    @Override
    void powerOn() {
        System.out.println(""Smartphone is on"");
    }
    void powerOff() {
        System.out.println(""Smartphone is off"");
    }
    void power() {
        System.out.println(""Smartphone is damaged"");
    }
}",SmartPhone,3,3,1
"class Bird {
    void fly() {
        System.out.println(""Bird flies"");
    }
}

class Sparrow extends Bird {
    @Override
    void fly() {
        System.out.println(""Sparrow flies"");
    }
}

class GoldenSparrow extends Sparrow {
    @Override
    void fly() {
        System.out.println(""Golden sparrow flies high"");
    }
}",Bird,0,1,0
"class Bird {
    void fly() {
        System.out.println(""Bird flies"");
    }
}

class Sparrow extends Bird {
    @Override
    void fly() {
        System.out.println(""Sparrow flies"");
    }
}

class GoldenSparrow extends Sparrow {
    @Override
    void fly() {
        System.out.println(""Golden sparrow flies high"");
    }
}",Sparrow,1,2,1
"class Bird {
    void fly() {
        System.out.println(""Bird flies"");
    }
}

class Sparrow extends Bird {
    @Override
    void fly() {
        System.out.println(""Sparrow flies"");
    }
}

class GoldenSparrow extends Sparrow {
    @Override
    void fly() {
        System.out.println(""Golden sparrow flies high"");
    }
}",GoldenSparrow,1,3,1
"class Bird {
    void fly() {
        System.out.println(""Bird flies"");
    }
}

class Sparrow extends Bird {
    @Override
    void fly() {
        System.out.println(""Sparrow flies"");
    }
    void damage() {
        System.out.println(""Sparrow damages"");
    }
}

class GoldenSparrow extends Sparrow {
    @Override
    void fly() {
        System.out.println(""Golden sparrow flies high"");
    }
    void damage() {
        System.out.println(""Golden sparrow damages"");
    }
}",Sparrow,1,2,1
"class Bird {
    void fly() {
        System.out.println(""Bird flies"");
    }
}

class Sparrow extends Bird {
    @Override
    void fly() {
        System.out.println(""Sparrow flies"");
    }
    void damage() {
        System.out.println(""Sparrow damages"");
    }
}

class GoldenSparrow extends Sparrow {
    @Override
    void fly() {
        System.out.println(""Golden sparrow flies high"");
    }
    void damage() {
        System.out.println(""Golden sparrow damages"");
    }
}",GoldenSparrow,2,3,1
"class Tool {
    void use() {
        System.out.println(""Using tool"");
    }
}

class Hammer extends Tool {
    @Override
    void use() {
        System.out.println(""Using hammer"");
    }
}

class SledgeHammer extends Hammer {
    @Override
    void use() {
        System.out.println(""Using sledgehammer"");
    }
}

class Tester extends SledgeHammer {
    @Override
    void use() {
        System.out.println(""Using Tester"");
    }
}",Tool,0,1,0
"class Tool {
    void use() {
        System.out.println(""Using tool"");
    }
}

class Hammer extends Tool {
    @Override
    void use() {
        System.out.println(""Using hammer"");
    }
}

class SledgeHammer extends Hammer {
    @Override
    void use() {
        System.out.println(""Using sledgehammer"");
    }
}

class Tester extends SledgeHammer {
    @Override
    void use() {
        System.out.println(""Using Tester"");
    }
}",Hammer,1,2,1
"class Tool {
    void use() {
        System.out.println(""Using tool"");
    }
}

class Hammer extends Tool {
    @Override
    void use() {
        System.out.println(""Using hammer"");
    }
}

class SledgeHammer extends Hammer {
    @Override
    void use() {
        System.out.println(""Using sledgehammer"");
    }
}

class Tester extends SledgeHammer {
    @Override
    void use() {
        System.out.println(""Using Tester"");
    }
}",SledgeHammer,1,3,1
"class Tool {
    void use() {
        System.out.println(""Using tool"");
    }
}

class Hammer extends Tool {
    @Override
    void use() {
        System.out.println(""Using hammer"");
    }
}

class SledgeHammer extends Hammer {
    @Override
    void use() {
        System.out.println(""Using sledgehammer"");
    }
}

class Tester extends SledgeHammer {
    @Override
    void use() {
        System.out.println(""Using Tester"");
    }
}",Tester,1,4,1
"class Tool {
    void use() {
        System.out.println(""Using tool"");
    }
}",Tool,0,1,0
"class Hammer {
    void use() {
        System.out.println(""Using hammer"");
    }
}

class SledgeHammer {
    void use() {
        System.out.println(""Using sledgehammer"");
    }
}",SledgeHammer,0,1,0
"class Instrument {
    void play() {
        System.out.println(""Playing instrument"");
    }
}

class Guitar extends Instrument {
    @Override
    void play() {
        System.out.println(""Playing guitar"");
    }
}

class ElectricGuitar extends Guitar {
    @Override
    void play() {
        System.out.println(""Playing electric guitar"");
    }
}",Instrument,0,1,0
"class Instrument {
    void play() {
        System.out.println(""Playing instrument"");
    }
}

class Guitar extends Instrument {
    @Override
    void play() {
        System.out.println(""Playing guitar"");
    }
}

class ElectricGuitar extends Guitar {
    @Override
    void play() {
        System.out.println(""Playing electric guitar"");
    }
}",Guitar,1,2,1
"class Instrument {
    void play() {
        System.out.println(""Playing instrument"");
    }
}

class Guitar extends Instrument {
    @Override
    void play() {
        System.out.println(""Playing guitar"");
    }
}

class ElectricGuitar extends Guitar {
    @Override
    void play() {
        System.out.println(""Playing electric guitar"");
    }
}",ElectricGuitar,1,3,1
"class Building {
    void enter() {
        System.out.println(""Entering building"");
    }
}

class House extends Building {
    @Override
    void enter() {
        System.out.println(""Entering house"");
    }
}

class Villa extends House {
    @Override
    void enter() {
        System.out.println(""Entering villa"");
    }
}",Building,0,1,0
"class Building {
    void enter() {
        System.out.println(""Entering building"");
    }
}

class House extends Building {
    @Override
    void enter() {
        System.out.println(""Entering house"");
    }
}

class Villa extends House {
    @Override
    void enter() {
        System.out.println(""Entering villa"");
    }
}",House,1,2,1
"class Building {
    void enter() {
        System.out.println(""Entering building"");
    }
}

class House extends Building {
    @Override
    void enter() {
        System.out.println(""Entering house"");
    }
}

class Villa extends House {
    @Override
    void enter() {
        System.out.println(""Entering villa"");
    }
}
",Villa,1,3,1
"class Building {
    void enter() {
        System.out.println(""Entering building"");
    }
}

class House extends Building {
    @Override
    void enter() {
        System.out.println(""Entering house"");
    }
}

class Villa extends House {
    @Override
    void enter() {
        System.out.println(""Entering villa"");
    }
    void lock() {
        System.out.println(""Villa is locked"");
    }
}
",Villa,1,3,1
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}",Food,0,1,0
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}",Pizza,1,2,1
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}",MargheritaPizza,1,3,1
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}

class ChickenPizza extends MargheritaPizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}",ChickenPizza,1,4,1
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}

class ChickenPizza extends MargheritaPizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}

class MashroomPizza extends ChickenPizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}",MushroomPizza,1,5,1
"class Food {
    void prepare() {
        System.out.println(""Preparing food"");
    }
}

class Pizza extends Food {
    @Override
    void prepare() {
        System.out.println(""Preparing pizza"");
    }
}

class MargheritaPizza extends Pizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
}

class ChickenPizza extends MargheritaPizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
    void addItems() {
        System.out.println(""Adding Chicken"");
    }
}

class MashroomPizza extends ChickenPizza {
    @Override
    void prepare() {
        System.out.println(""Preparing Margherita pizza"");
    }
    void addItems() {
        System.out.println(""Adding Mashroom"");
    }
}",MushroomPizza,2,5,1
"class Computer {
    void compute() {
        System.out.println(""Computing"");
    }
}

class Laptop extends Computer {
    @Override
    void compute() {
        System.out.println(""Computing on laptop"");
    }
}

class GamingLaptop extends Laptop {
    @Override
    void compute() {
        System.out.println(""Computing on gaming laptop"");
    }
}",Computer,0,1,0
"class Computer {
    void compute() {
        System.out.println(""Computing"");
    }
}

class Laptop extends Computer {
    @Override
    void compute() {
        System.out.println(""Computing on laptop"");
    }
}

class GamingLaptop extends Laptop {
    @Override
    void compute() {
        System.out.println(""Computing on gaming laptop"");
    }
}",Laptop,1,2,1
"class Computer {
    void compute() {
        System.out.println(""Computing"");
    }
}

class Laptop extends Computer {
    @Override
    void compute() {
        System.out.println(""Computing on laptop"");
    }
}

class GamingLaptop extends Laptop {
    @Override
    void compute() {
        System.out.println(""Computing on gaming laptop"");
    }
}",GamingLaptop,1,3,1
"class Beverage {
    void serve() {
        System.out.println(""Serving beverage"");
    }
}

class Tea extends Beverage {
    @Override
    void serve() {
        System.out.println(""Serving tea"");
    }
}

class GreenTea extends Tea {
    @Override
    void serve() {
        System.out.println(""Serving green tea"");
    }
}",Beverage,0,1,0
"class Beverage {
    void serve() {
        System.out.println(""Serving beverage"");
    }
}

class Tea extends Beverage {
    @Override
    void serve() {
        System.out.println(""Serving tea"");
    }
}

class GreenTea extends Tea {
    @Override
    void serve() {
        System.out.println(""Serving green tea"");
    }
}",Tea,1,2,1
"class Beverage {
    void serve() {
        System.out.println(""Serving beverage"");
    }
}

class Tea extends Beverage {
    @Override
    void serve() {
        System.out.println(""Serving tea"");
    }
}

class GreenTea extends Tea {
    @Override
    void serve() {
        System.out.println(""Serving green tea"");
    }
}",GreenTea,1,3,1
"class Beverage {
    void serve() {
        System.out.println(""Serving beverage"");
    }
}

class Tea extends Beverage {
    @Override
    void serve() {
        System.out.println(""Serving tea"");
    }
}

class GreenTea extends Tea {
    @Override
    void serve() {
        System.out.println(""Serving green tea"");
    }
}

class Coffee extends GreenTea {
    @Override
    void serve() {
        System.out.println(""Serving Coffee"");
    }
}
",Coffee ,1,4,1
"class Furniture {
    void place() {
        System.out.println(""Placing furniture"");
    }
}

class Chair extends Furniture {
    @Override
    void place() {
        System.out.println(""Placing chair"");
    }
}

class OfficeChair extends Chair {
    @Override
    void place() {
        System.out.println(""Placing office chair"");
    }
}",Furniture,0,1,1
"class Furniture {
    void place() {
        System.out.println(""Placing furniture"");
    }
}

class Chair extends Furniture {
    @Override
    void place() {
        System.out.println(""Placing chair"");
    }
}

class OfficeChair extends Chair {
    @Override
    void place() {
        System.out.println(""Placing office chair"");
    }
}",Chair,1,2,1
"class Furniture {
    void place() {
        System.out.println(""Placing furniture"");
    }
}

class Chair extends Furniture {
    @Override
    void place() {
        System.out.println(""Placing chair"");
    }
}

class OfficeChair extends Chair {
    @Override
    void place() {
        System.out.println(""Placing office chair"");
    }
}",OfficeChair,1,3,1
"class Game {
    void play() {
        System.out.println(""Playing game"");
    }
}

class BoardGame extends Game {
    @Override
    void play() {
        System.out.println(""Playing board game"");
    }
}

class Chess extends BoardGame {
    @Override
    void play() {
        System.out.println(""Playing chess"");
    }
}",Game,0,1,0
"class Game {
    void play() {
        System.out.println(""Playing game"");
    }
}

class BoardGame extends Game {
    @Override
    void play() {
        System.out.println(""Playing board game"");
    }
}

class Chess extends BoardGame {
    @Override
    void play() {
        System.out.println(""Playing chess"");
    }
}",BoardGame,1,2,1
"class Game {
    void play() {
        System.out.println(""Playing game"");
    }
}

class BoardGame extends Game {
    @Override
    void play() {
        System.out.println(""Playing board game"");
    }
}

class Chess extends BoardGame {
    @Override
    void play() {
        System.out.println(""Playing chess"");
    }
}",Chess,1,3,1
"class Flower {
    void bloom() {
        System.out.println(""Flower blooms"");
    }
}

class Rose extends Flower {
    @Override
    void bloom() {
        System.out.println(""Rose blooms"");
    }
}

class RedRose extends Rose {
    @Override
    void bloom() {
        System.out.println(""Red rose blooms"");
    }
}",Flower,0,1,0
"class Flower {
    void bloom() {
        System.out.println(""Flower blooms"");
    }
}

class Rose extends Flower {
    @Override
    void bloom() {
        System.out.println(""Rose blooms"");
    }
}

class RedRose extends Rose {
    @Override
    void bloom() {
        System.out.println(""Red rose blooms"");
    }
}",Rose,1,2,1
"class Flower {
    void bloom() {
        System.out.println(""Flower blooms"");
    }
}

class Rose extends Flower {
    @Override
    void bloom() {
        System.out.println(""Rose blooms"");
    }
}

class RedRose extends Rose {
    @Override
    void bloom() {
        System.out.println(""Red rose blooms"");
    }
}",RedRose,1,3,1
"class Drink {
    void mix() {
        System.out.println(""Mixing drink"");
    }
}

class Juice extends Drink {
    @Override
    void mix() {
        System.out.println(""Mixing juice"");
    }
}

class OrangeJuice extends Juice {
    @Override
    void mix() {
        System.out.println(""Mixing orange juice"");
    }
}",Drink,0,1,0
"class Drink {
    void mix() {
        System.out.println(""Mixing drink"");
    }
}

class Juice extends Drink {
    @Override
    void mix() {
        System.out.println(""Mixing juice"");
    }
}

class OrangeJuice extends Juice {
    @Override
    void mix() {
        System.out.println(""Mixing orange juice"");
    }
}",Juice,1,2,1
"class Drink {
    void mix() {
        System.out.println(""Mixing drink"");
    }
}

class Juice extends Drink {
    @Override
    void mix() {
        System.out.println(""Mixing juice"");
    }
}

class OrangeJuice extends Juice {
    @Override
    void mix() {
        System.out.println(""Mixing orange juice"");
    }
}",OrangeJuice,1,3,1
"class Book {
    void read() {
        System.out.println(""Reading book"");
    }
}

class Novel extends Book {
    @Override
    void read() {
        System.out.println(""Reading novel"");
    }
}

class ThrillerNovel extends Novel {
    @Override
    void read() {
        System.out.println(""Reading thriller novel"");
    }
}",Book,0,1,0
